지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위)
106,동해,2023-01-05 02:00,1.5,,1,30,,,,0
106,동해,2023-01-05 03:00,1.5,,2.1,32,,,,1
106,동해,2023-01-05 04:00,2.3,,3.5,30,,,,2
106,동해,2023-01-05 05:00,2.2,,4.3,29,,,,1
106,동해,2023-01-05 06:00,1.9,,2.7,30,,,,0
106,동해,2023-01-05 07:00,2.5,,3.4,30,,,,0
106,동해,2023-01-05 08:00,2.4,,3.3,31,.1,,,0
106,동해,2023-01-05 09:00,3.7,,2.3,30,1,,,1
106,동해,2023-01-05 10:00,4.9,,3.4,27,1,,,0
106,동해,2023-01-05 11:00,6.1,,2.7,24,1,,,0
106,동해,2023-01-05 12:00,6.8,,3.4,22,1,,,0
106,동해,2023-01-05 13:00,7.4,,3.7,21,1,,,0
106,동해,2023-01-05 14:00,8.4,,1.6,20,1,,,0
106,동해,2023-01-05 15:00,8.1,,3,20,1,,,0
106,동해,2023-01-05 16:00,7.3,,4.3,22,1,,,0
106,동해,2023-01-05 17:00,6,,2.9,25,.5,,,0
106,동해,2023-01-05 18:00,5.2,,2.3,27,0,,,3
106,동해,2023-01-05 19:00,4.5,,1.6,31,,,,0
106,동해,2023-01-05 20:00,4.1,,1.8,32,,,,5
106,동해,2023-01-05 21:00,3.2,,.5,36,,,,6
106,동해,2023-01-05 22:00,3,,1.6,36,,,,3
106,동해,2023-01-05 23:00,1.3,,.6,43,,,,5
106,동해,2023-01-06 00:00,.9,,1.3,44,,,,4
106,동해,2023-01-06 01:00,.6,,.9,42,,,,5
106,동해,2023-01-06 02:00,1.1,,1.6,40,,,,4
106,동해,2023-01-06 03:00,.3,,1,43,,,,5
106,동해,2023-01-06 04:00,1.2,,1.4,38,,,,5
106,동해,2023-01-06 05:00,1.5,,.9,39,,,,4
106,동해,2023-01-06 06:00,1.8,,1.7,37,,,,3
106,동해,2023-01-06 07:00,1.7,,1.4,38,,,,6
106,동해,2023-01-06 08:00,2.1,,2.4,35,0,,,4
106,동해,2023-01-06 09:00,3.7,,1.3,34,.6,,,1
106,동해,2023-01-06 10:00,6.2,,1.2,27,1,,,0
106,동해,2023-01-06 11:00,8.2,,1.3,20,1,,,0
106,동해,2023-01-06 12:00,8.6,,1.4,23,1,,,0
106,동해,2023-01-06 13:00,9.3,,1.4,27,1,,,5
106,동해,2023-01-06 14:00,9.7,,1.2,30,1,,,6
106,동해,2023-01-06 15:00,8.7,,3,37,1,,,6
106,동해,2023-01-06 16:00,8.7,,3.3,40,1,,,6
106,동해,2023-01-06 17:00,8.3,,1.6,34,.5,,,6
106,동해,2023-01-06 18:00,7.2,,2.7,26,0,,,5
106,동해,2023-01-06 19:00,5.2,,1.4,30,,,,6
106,동해,2023-01-06 20:00,5.5,,.9,28,,,,7
106,동해,2023-01-06 21:00,3.9,,.9,32,,,,9
106,동해,2023-01-06 22:00,4,,1.3,34,,,,9
106,동해,2023-01-06 23:00,4.5,,1.5,38,,,,10
106,동해,2023-01-07 00:00,6.2,,3.2,43,,,,9
106,동해,2023-01-07 01:00,5.7,,.8,46,,,,9
106,동해,2023-01-07 02:00,4.9,,1.2,49,,,,9
106,동해,2023-01-07 03:00,5.6,,1.5,52,,,,9
106,동해,2023-01-07 04:00,4.6,,.8,55,,,,9
106,동해,2023-01-07 05:00,4.7,,1.6,60,,,,9
106,동해,2023-01-07 06:00,4.7,,2.2,59,,,,7
106,동해,2023-01-07 07:00,5.2,,2.2,57,,,,9
106,동해,2023-01-07 08:00,5.6,,3.1,56,0,,,7
106,동해,2023-01-07 09:00,6.2,,3.1,52,.2,,,5
106,동해,2023-01-07 10:00,7.1,,3.5,48,1,,,1
106,동해,2023-01-07 11:00,7.9,,4.3,45,1,,,5
106,동해,2023-01-07 12:00,8.2,,4.4,43,1,,,3
106,동해,2023-01-07 13:00,7.9,,4.1,43,1,,,3
106,동해,2023-01-07 14:00,7.9,,4,42,1,,,5
106,동해,2023-01-07 15:00,7.3,,4.7,42,1,,,6
106,동해,2023-01-07 16:00,6.5,,4.8,43,1,,,6
106,동해,2023-01-07 17:00,5.3,,3.3,45,.5,,,2
106,동해,2023-01-07 18:00,4.9,,3.3,45,0,,,0
106,동해,2023-01-07 19:00,4.8,,3.8,45,,,,0
106,동해,2023-01-07 20:00,4.4,,3,44,,,,0
106,동해,2023-01-07 21:00,4.1,,3.2,46,,,,0
106,동해,2023-01-07 22:00,3.8,,2.5,45,,,,0
106,동해,2023-01-07 23:00,3.4,,1.8,46,,,,0
106,동해,2023-01-08 00:00,3,,2,48,,,,0
106,동해,2023-01-08 01:00,2.8,,2.2,50,,,,0
106,동해,2023-01-08 02:00,1.9,,1.6,51,,,,0
106,동해,2023-01-08 03:00,2.1,,2,50,,,,1
106,동해,2023-01-08 04:00,.7,,1.4,56,,,,1
106,동해,2023-01-08 05:00,1.3,,1.3,54,,,,3
106,동해,2023-01-08 06:00,.3,,1.5,56,,,,0
106,동해,2023-01-08 07:00,.9,,2.2,52,,,,7
106,동해,2023-01-08 08:00,.7,,1.8,52,0,,,6
106,동해,2023-01-08 09:00,2.5,,1.7,50,.3,,,6
106,동해,2023-01-08 10:00,5.8,,1.1,34,1,,,6
106,동해,2023-01-08 11:00,8,,1.6,24,1,,,4
106,동해,2023-01-08 12:00,8.4,,1.4,27,1,,,0
106,동해,2023-01-08 13:00,10.1,,1.1,26,1,,,0
106,동해,2023-01-08 14:00,9.8,,1.6,32,1,,,0
106,동해,2023-01-08 15:00,9.2,,2.4,39,1,,,0
106,동해,2023-01-08 16:00,8.7,,2.2,46,1,,,0
106,동해,2023-01-08 17:00,8,,.1,47,.6,,,0
106,동해,2023-01-08 18:00,8,,.7,32,0,,,0
106,동해,2023-01-08 19:00,6.3,,1.4,38,,,,0
106,동해,2023-01-08 20:00,7.1,,1,29,,,,0
106,동해,2023-01-08 21:00,5.7,,1.6,32,,,,0
106,동해,2023-01-08 22:00,4.1,,1.3,36,,,,0
106,동해,2023-01-08 23:00,4.9,,.5,32,,,,0
106,동해,2023-01-09 00:00,4.8,,.7,34,,,,0
106,동해,2023-01-09 01:00,4.5,,.7,37,,,,0
106,동해,2023-01-09 02:00,4.7,,.9,50,,,,3
106,동해,2023-01-09 03:00,5.3,,.8,51,,,,7
106,동해,2023-01-09 04:00,5.8,,.5,51,,,,9
106,동해,2023-01-09 05:00,6.3,,.6,58,,,,9
106,동해,2023-01-09 06:00,7.3,,.3,59,,,,9
106,동해,2023-01-09 07:00,6.6,,1.3,61,,,,9
106,동해,2023-01-09 08:00,7.3,,.9,62,0,,,9
106,동해,2023-01-09 09:00,8.5,,1.1,59,.3,,,7
106,동해,2023-01-09 10:00,10.6,,.8,54,.5,,,6
106,동해,2023-01-09 11:00,11.8,,2.5,43,1,,,5
106,동해,2023-01-09 12:00,12.2,,2.8,36,1,,,2
106,동해,2023-01-09 13:00,10.5,,4.7,54,.9,,,5
106,동해,2023-01-09 14:00,9.5,,7.8,59,.9,,,2
106,동해,2023-01-09 15:00,8.4,,6.4,53,1,,,2
106,동해,2023-01-09 16:00,7.8,,4.7,52,.5,,,4
106,동해,2023-01-09 17:00,7.2,,4.9,52,0,,,6
106,동해,2023-01-09 18:00,6.7,,2.9,52,0,,,8
106,동해,2023-01-09 19:00,5.9,,2.5,52,,,,7
106,동해,2023-01-09 20:00,5.9,,3.1,51,,,,6
106,동해,2023-01-09 21:00,5.8,,3.4,53,,,,5
106,동해,2023-01-09 22:00,5.6,,2.3,51,,,,2
106,동해,2023-01-09 23:00,5.2,,1.3,50,,,,7
106,동해,2023-01-10 00:00,5.8,,2,52,,,,7
106,동해,2023-01-10 01:00,6.2,,1.8,54,,,,9
106,동해,2023-01-10 02:00,5.8,,2.6,55,,,,8
106,동해,2023-01-10 03:00,5.4,0,2.4,56,,,,8
106,동해,2023-01-10 04:00,6,,2.8,51,,,,9
106,동해,2023-01-10 05:00,5.4,,2.8,53,,,,7
106,동해,2023-01-10 06:00,4.9,,2.4,55,,,,4
106,동해,2023-01-10 07:00,2.3,,1.3,68,,,,4
106,동해,2023-01-10 08:00,1.6,,1.4,71,0,,,4
106,동해,2023-01-10 09:00,4.2,,1,61,1,,,1
106,동해,2023-01-10 10:00,7,,.9,50,1,,,1
106,동해,2023-01-10 11:00,8.8,,1.5,41,1,,,0
106,동해,2023-01-10 12:00,8.9,,2.2,43,1,,,0
106,동해,2023-01-10 13:00,9.1,,3.1,47,1,,,0
106,동해,2023-01-10 14:00,9.3,,3.6,50,1,,,0
106,동해,2023-01-10 15:00,9.3,,3.7,55,1,,,0
106,동해,2023-01-10 16:00,9.3,,3.8,58,1,,,0
106,동해,2023-01-10 17:00,8.6,,2.1,60,.6,,,0
106,동해,2023-01-10 18:00,7.4,,.8,64,0,,,0
106,동해,2023-01-10 19:00,5.6,,1,69,,,,0
106,동해,2023-01-10 20:00,5.9,,1.5,66,,,,0
